par,lookback_days,rebalance_days,sharpe_rotacion,cagr_rotacion,retorno_total_rotacion,max_drawdown_rotacion,n_rotaciones,mejor_baseline,sharpe_mejor_baseline,gana_al_mejor_baseline,sharpe_buy_hold_BTC,sharpe_buy_hold_ETH,sharpe_50_50_rebalanceado,sharpe_buy_hold_SOL,sharpe_buy_hold_BNB,sharpe_buy_hold_LTC
BTC-ETH,20,7,0.7156593195318351,0.28585160248472086,7.630774775499294,-0.7953616060357276,115,buy_hold_BTC,0.63362006982258,True,0.63362006982258,0.5066251197906404,0.584939417363615,,,
BTC-ETH,20,30,0.7870992554336537,0.35657114968167836,12.657700833232926,-0.8253034550720215,47,buy_hold_BTC,0.63362006982258,True,0.63362006982258,0.5066251197906404,0.584939417363615,,,
BTC-ETH,50,7,0.6668413332622845,0.23954429806133026,5.192031367566779,-0.7788978350748742,71,buy_hold_BTC,0.6420731584584651,True,0.6420731584584651,0.5286623983587835,0.601903198834076,,,
BTC-ETH,50,30,0.47258970013568363,0.07637696076574052,0.8680600626106938,-0.8512982884587538,45,buy_hold_BTC,0.6420731584584651,False,0.6420731584584651,0.5286623983587835,0.601903198834076,,,
BTC-ETH,100,7,0.6273794968678825,0.20420326553167034,3.721931733447259,-0.8149988777627364,57,buy_hold_BTC,0.7395106655681681,False,0.7395106655681681,0.6335913770661873,0.7081870383126607,,,
BTC-ETH,100,30,0.7345805063030214,0.30269252168508975,8.105909429958013,-0.8215731866314131,30,buy_hold_BTC,0.7395106655681681,False,0.7395106655681681,0.6335913770661873,0.7081870383126607,,,
BTC-SOL,20,7,1.0313763122703206,0.7079494193087972,23.176059120870903,-0.8753658570508738,89,50_50_rebalanceado,1.0059340630869777,True,0.7824450143295063,,1.0059340630869777,0.9726333889291596,,
BTC-SOL,20,30,1.3209495831634492,1.2022902862346756,108.7333143777726,-0.7898035769351057,36,50_50_rebalanceado,1.0059340630869777,True,0.7824450143295063,,1.0059340630869777,0.9726333889291596,,
BTC-SOL,50,7,1.3320383290292797,1.2252074051993156,108.28017447679862,-0.854718682994741,44,50_50_rebalanceado,1.0720130325327837,True,0.812194177211509,,1.0720130325327837,1.052146906998973,,
BTC-SOL,50,30,1.17590418960093,0.9200319093578309,44.982616213130704,-0.8914618549632128,30,50_50_rebalanceado,1.0720130325327837,True,0.812194177211509,,1.0720130325327837,1.052146906998973,,
BTC-SOL,100,7,1.2193932370971652,0.9951521495440445,51.397988551679276,-0.8540045807973824,38,buy_hold_SOL,1.116715383658768,True,0.6722961466359493,,1.0609159743752106,1.116715383658768,,
BTC-SOL,100,30,1.3222056838961023,1.1865145380496527,87.57130257857018,-0.8571424714636787,18,buy_hold_SOL,1.116715383658768,True,0.6722961466359493,,1.0609159743752106,1.116715383658768,,
BTC-BNB,20,7,0.9461890124131085,0.562254876648175,44.586333794523334,-0.8728914415438318,115,buy_hold_BNB,0.9333608613109857,True,0.6357128453363434,,0.881096086102398,,0.9333608613109857,
BTC-BNB,20,30,1.003000701086772,0.6376890177213481,67.26109633973127,-0.7517083929623252,53,buy_hold_BNB,0.9333608613109857,True,0.6357128453363434,,0.881096086102398,,0.9333608613109857,
BTC-BNB,50,7,0.8888827261677067,0.4858906090575421,27.731225207534862,-0.785585166486263,75,buy_hold_BNB,0.9883826116608164,False,0.6442194005605123,,0.9225382612903007,,0.9883826116608164,
BTC-BNB,50,30,0.9882533125951128,0.6207341768506021,59.012410483640764,-0.7761857345848032,38,buy_hold_BNB,0.9883826116608164,False,0.6442194005605123,,0.9225382612903007,,0.9883826116608164,
BTC-BNB,100,7,0.9632863224657252,0.5797663527517642,44.36846965452198,-0.7906238162404862,51,buy_hold_BNB,0.9691095085026588,False,0.741771941393115,,0.9542640266924927,,0.9691095085026588,
BTC-BNB,100,30,0.9720769052974555,0.5584677271320688,39.51118138476582,-0.7275162726742661,25,buy_hold_BNB,0.9691095085026588,True,0.741771941393115,,0.9542640266924927,,0.9691095085026588,
BTC-LTC,20,7,0.2080123532606418,-0.14515784010821464,-0.7388851221932125,-0.9363601553211416,141,buy_hold_BTC,0.6357128453363434,False,0.6357128453363434,,0.44356294268689506,,,0.2651622704411245
BTC-LTC,20,30,0.42247713086995325,0.0315781917404494,0.3049702737209965,-0.8284063623580175,43,buy_hold_BTC,0.6357128453363434,False,0.6357128453363434,,0.44356294268689506,,,0.2651622704411245
BTC-LTC,50,7,0.35875520938170585,-0.021802430474129664,-0.17048806470151256,-0.8833190874668523,79,buy_hold_BTC,0.6442194005605123,False,0.6442194005605123,,0.4255151620385194,,,0.22967595460585713
BTC-LTC,50,30,0.30268327480604246,-0.056207536562173255,-0.38769680056238287,-0.8762366286198562,33,buy_hold_BTC,0.6442194005605123,False,0.6442194005605123,,0.4255151620385194,,,0.22967595460585713
BTC-LTC,100,7,0.5219102929593422,0.11098273021271421,1.4060888034219716,-0.8534488238224646,36,buy_hold_BTC,0.741771941393115,False,0.741771941393115,,0.5205612381936319,,,0.3135167691109837
BTC-LTC,100,30,0.5341703262115887,0.12098383675184965,1.5928708427901994,-0.8378946913261343,20,buy_hold_BTC,0.741771941393115,False,0.741771941393115,,0.5205612381936319,,,0.3135167691109837
ETH-SOL,20,7,1.0579825353267809,0.7612743781850304,28.029471396538703,-0.8568941763423956,83,buy_hold_SOL,0.9726333889291596,True,,0.7052206075584846,0.9478325724407793,0.9726333889291596,,
ETH-SOL,20,30,1.1801577809020567,0.9852935271425081,58.19174084582203,-0.8470546053072581,34,buy_hold_SOL,0.9726333889291596,True,,0.7052206075584846,0.9478325724407793,0.9726333889291596,,
ETH-SOL,50,7,1.08837063933843,0.8051113771060174,31.010465326608006,-0.8993165608042213,51,buy_hold_SOL,1.052146906998973,True,,0.7501336646720848,1.0170494910213594,1.052146906998973,,
ETH-SOL,50,30,0.7098087762769323,0.24299801592934256,2.5842566792381265,-0.9513046089379001,33,buy_hold_SOL,1.052146906998973,False,,0.7501336646720848,1.0170494910213594,1.052146906998973,,
ETH-SOL,100,7,1.1293279693014922,0.8661756691435285,34.72450671134004,-0.8420015398399499,32,buy_hold_SOL,1.116715383658768,True,,0.6984154607373705,1.0329722483060033,1.116715383658768,,
ETH-SOL,100,30,1.1998998184413587,0.9882598237528484,50.36896655409942,-0.8265250817401798,16,buy_hold_SOL,1.116715383658768,True,,0.6984154607373705,1.0329722483060033,1.116715383658768,,
ETH-BNB,20,7,0.8674912509743561,0.46523937980863694,25.329959468481434,-0.8314728063328803,125,buy_hold_BNB,0.9333608613109857,False,,0.507230817414404,0.7881550100769725,,0.9333608613109857,
ETH-BNB,20,30,0.9356158741513034,0.558183239880303,43.579094086345684,-0.8292507647277331,47,buy_hold_BNB,0.9333608613109857,True,,0.507230817414404,0.7881550100769725,,0.9333608613109857,
ETH-BNB,50,7,0.8127555977733993,0.3964954314187157,15.976792857112244,-0.8172696430490611,76,buy_hold_BNB,0.9883826116608164,False,,0.5292908865311199,0.8309968238370249,,0.9883826116608164,
ETH-BNB,50,30,0.6576814066180944,0.22063837087285165,4.422636175640469,-0.8276976561285905,44,buy_hold_BNB,0.9883826116608164,False,,0.5292908865311199,0.8309968238370249,,0.9883826116608164,
ETH-BNB,100,7,0.8241256930849864,0.40957192087221417,16.528921368518773,-0.7730090014405444,47,buy_hold_BNB,0.9691095085026588,False,,0.6343001688300863,0.8743272659238525,,0.9691095085026588,
ETH-BNB,100,30,0.7154477526489458,0.27987919918637494,6.8352625361363675,-0.7539057849860118,25,buy_hold_BNB,0.9691095085026588,False,,0.6343001688300863,0.8743272659238525,,0.9691095085026588,
ETH-LTC,20,7,0.3550881291893475,-0.07562013044462057,-0.48993683016967904,-0.8760449268796995,121,buy_hold_ETH,0.507230817414404,False,,0.507230817414404,0.40213958810342354,,,0.2651622704411245
ETH-LTC,20,30,0.48305684850838426,0.04392560821777769,0.44491416443359033,-0.9100724533553757,43,buy_hold_ETH,0.507230817414404,False,,0.507230817414404,0.40213958810342354,,,0.2651622704411245
ETH-LTC,50,7,0.4051365681735504,-0.021726196466061665,-0.16993973827163755,-0.8862638624309358,73,buy_hold_ETH,0.5292908865311199,False,,0.5292908865311199,0.39451348250248086,,,0.22967595460585713
ETH-LTC,50,30,0.512205792218111,0.07327561656750547,0.8214392084490489,-0.9406161313755158,33,buy_hold_ETH,0.5292908865311199,False,,0.5292908865311199,0.39451348250248086,,,0.22967595460585713
ETH-LTC,100,7,0.6410517147358742,0.19689902223281863,3.479114064813082,-0.8671135748896048,47,buy_hold_ETH,0.6343001688300863,True,,0.6343001688300863,0.49448329435849026,,,0.3135167691109837
ETH-LTC,100,30,0.38745236752610035,-0.03266821358861127,-0.24200950513244057,-0.8949864668863765,28,buy_hold_ETH,0.6343001688300863,False,,0.6343001688300863,0.49448329435849026,,,0.3135167691109837
SOL-BNB,20,7,1.1049119746606255,0.8600629851262906,39.167437655194234,-0.8442419621942885,88,50_50_rebalanceado,1.138747531805864,False,,,1.138747531805864,0.9726333889291596,1.0635257934680267,
SOL-BNB,20,30,0.9778775184800164,0.6261180579100656,17.050924800253675,-0.8232865999616764,42,50_50_rebalanceado,1.138747531805864,False,,,1.138747531805864,0.9726333889291596,1.0635257934680267,
SOL-BNB,50,7,1.0829701488436885,0.7790897961999026,28.395745556026505,-0.8195433125149054,60,50_50_rebalanceado,1.1710876466767695,False,,,1.1710876466767695,1.052146906998973,1.0264828393192325,
SOL-BNB,50,30,0.9791470553830149,0.6116964805603697,15.460399715783385,-0.9066174254412401,28,50_50_rebalanceado,1.1710876466767695,False,,,1.1710876466767695,1.052146906998973,1.0264828393192325,
SOL-BNB,100,7,1.2019167262709465,1.00595591845698,53.04519510062397,-0.7440529196215335,29,50_50_rebalanceado,1.2216951456324203,False,,,1.2216951456324203,1.116715383658768,1.0481485030905702,
SOL-BNB,100,30,1.344294883432735,1.3233418238802312,124.42375547327336,-0.7658049111912433,17,50_50_rebalanceado,1.2216951456324203,True,,,1.2216951456324203,1.116715383658768,1.0481485030905702,
SOL-LTC,20,7,0.9635435126488667,0.6006347234286702,15.431557039846478,-0.8684867791253612,87,buy_hold_SOL,0.9726333889291596,False,,,0.8127858582852667,0.9726333889291596,,0.3693582728183941
SOL-LTC,20,30,0.9678572311710878,0.6077142914401148,15.868793795594463,-0.8369935486238196,36,buy_hold_SOL,0.9726333889291596,False,,,0.8127858582852667,0.9726333889291596,,0.3693582728183941
SOL-LTC,50,7,1.2509826436617573,1.142382675041684,86.4715974034334,-0.863198914811994,33,buy_hold_SOL,1.052146906998973,True,,,0.8850803908771357,1.052146906998973,,0.4228344236236365
SOL-LTC,50,30,0.9597665545580621,0.5894392942694031,14.170458811744476,-0.85272624374627,33,buy_hold_SOL,1.052146906998973,False,,,0.8850803908771357,1.052146906998973,,0.4228344236236365
SOL-LTC,100,7,1.1120862315658986,0.8499490796529094,32.980367961296785,-0.8458197585943802,28,buy_hold_SOL,1.116715383658768,False,,,0.8655578625910451,1.116715383658768,,0.3061333802477816
SOL-LTC,100,30,1.2120464070762078,1.042930831312224,59.009636061074985,-0.8726482756049855,18,buy_hold_SOL,1.116715383658768,True,,,0.8655578625910451,1.116715383658768,,0.3061333802477816
BNB-LTC,20,7,0.6279430467717635,0.1715885691338379,2.8799678888335,-0.8749123483192982,121,buy_hold_BNB,0.9333608613109857,False,,,0.6549832586940557,,0.9333608613109857,0.2651622704411245
BNB-LTC,20,30,0.6787744055304302,0.2300289213179545,4.886036771315758,-0.8582423154161927,59,buy_hold_BNB,0.9333608613109857,False,,,0.6549832586940557,,0.9333608613109857,0.2651622704411245
BNB-LTC,50,7,0.6092906458580342,0.1593407445958379,2.503280707751034,-0.8577377637868204,91,buy_hold_BNB,0.9883826116608164,False,,,0.6662681982648067,,0.9883826116608164,0.22967595460585713
BNB-LTC,50,30,0.8011376720662178,0.37797067462187006,14.159284159080103,-0.8460773481583385,36,buy_hold_BNB,0.9883826116608164,False,,,0.6662681982648067,,0.9883826116608164,0.22967595460585713
BNB-LTC,100,7,0.7110414611301131,0.2723712128634017,6.45997433788071,-0.8442191971194616,47,buy_hold_BNB,0.9691095085026588,False,,,0.6999563385688176,,0.9691095085026588,0.3135167691109837
BNB-LTC,100,30,0.5873461240298341,0.14659788665563922,2.130656188081928,-0.82008839583627,31,buy_hold_BNB,0.9691095085026588,False,,,0.6999563385688176,,0.9691095085026588,0.3135167691109837
